,ResNet50,Label
105,[0. 0. 0. ... 0. 0. 0.],Dogs
106,[0. 0. 0. ... 0. 0. 0.],Dogs
107,[0. 0. 0. ... 0. 0. 0.],Dogs
108,[0. 0. 0. ... 0. 0. 0.],Dogs
109,[0.         0.00260785 0.         ... 0.         0.         0.        ],Dogs
110,[0. 0. 0. ... 0. 0. 0.],Cats
111,[0. 0. 0. ... 0. 0. 0.],Dogs
112,[0. 0. 0. ... 0. 0. 0.],Cats
113,"[0.00000000e+00 0.00000000e+00 7.89444706e-05 ... 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",Cats
114,[0.         0.         0.         ... 0.01580004 0.         0.        ],Cats
115,[0.         0.00542249 0.         ... 0.         0.         0.        ],Dogs
116,[0.00818194 0.         0.         ... 0.         0.         0.        ],Cats
117,[0.         0.         0.         ... 0.         0.         0.00132496],Cats
118,[0. 0. 0. ... 0. 0. 0.],Dogs
119,[0. 0. 0. ... 0. 0. 0.],Dogs
120,[0. 0. 0. ... 0. 0. 0.],Cats
121,[0.00031789 0.         0.         ... 0.         0.         0.        ],Dogs
122,[0.         0.         0.         ... 0.01827106 0.         0.        ],Dogs
123,[0.        0.        0.        ... 0.        0.0072018 0.       ],Cats
124,[0. 0. 0. ... 0. 0. 0.],Cats
125,[0.        0.        0.        ... 0.        0.        0.0002638],Dogs
126,[0. 0. 0. ... 0. 0. 0.],Dogs
127,[0. 0. 0. ... 0. 0. 0.],Dogs
128,[0.         0.         0.         ... 0.01946034 0.         0.        ],Cats
129,[0. 0. 0. ... 0. 0. 0.],Dogs
130,[0. 0. 0. ... 0. 0. 0.],Cats
131,[0. 0. 0. ... 0. 0. 0.],Cats
132,[0. 0. 0. ... 0. 0. 0.],Cats
133,[0. 0. 0. ... 0. 0. 0.],Cats
134,[0. 0. 0. ... 0. 0. 0.],Dogs
135,[0. 0. 0. ... 0. 0. 0.],Cats
136,[0. 0. 0. ... 0. 0. 0.],Cats
137,[0.         0.         0.00130088 ... 0.         0.         0.        ],Cats
138,[0. 0. 0. ... 0. 0. 0.],Cats
139,[0. 0. 0. ... 0. 0. 0.],Dogs
140,[0. 0. 0. ... 0. 0. 0.],Dogs
141,[0. 0. 0. ... 0. 0. 0.],Dogs
142,[0. 0. 0. ... 0. 0. 0.],Dogs
143,[0.         0.00451193 0.         ... 0.01395227 0.         0.        ],Dogs
144,[0. 0. 0. ... 0. 0. 0.],Dogs
145,[0. 0. 0. ... 0. 0. 0.],Dogs
146,[0.         0.         0.         ... 0.00549272 0.         0.        ],Dogs
147,[0.00025086 0.         0.         ... 0.00669439 0.         0.        ],Dogs
148,[0.         0.         0.         ... 0.00147222 0.         0.        ],Cats
149,[0. 0. 0. ... 0. 0. 0.],Dogs
150,[0. 0. 0. ... 0. 0. 0.],Dogs
151,[0.        0.        0.        ... 0.        0.        0.0062272],Cats
152,[0. 0. 0. ... 0. 0. 0.],Cats
153,[0. 0. 0. ... 0. 0. 0.],Cats
154,[0.01039386 0.         0.         ... 0.         0.         0.        ],Dogs
155,[0.         0.         0.         ... 0.         0.00615394 0.        ],Cats
156,[0. 0. 0. ... 0. 0. 0.],Dogs
157,[0. 0. 0. ... 0. 0. 0.],Cats
158,[0.         0.         0.         ... 0.         0.         0.00252071],Cats
159,[0.         0.         0.00091146 ... 0.         0.         0.        ],Cats
160,[0. 0. 0. ... 0. 0. 0.],Cats
161,[0.         0.         0.         ... 0.         0.00237568 0.        ],Dogs
162,[0. 0. 0. ... 0. 0. 0.],Cats
163,[0.         0.         0.         ... 0.00903878 0.         0.        ],Dogs
164,[0.         0.         0.         ... 0.         0.00464044 0.        ],Cats
165,[0. 0. 0. ... 0. 0. 0.],Cats
166,[0.         0.         0.         ... 0.00146692 0.         0.        ],Cats
167,[0.         0.         0.         ... 0.         0.         0.00101494],Cats
168,[0. 0. 0. ... 0. 0. 0.],Cats
169,[0.         0.         0.         ... 0.         0.01866614 0.        ],Cats
170,[0. 0. 0. ... 0. 0. 0.],Cats
171,[0. 0. 0. ... 0. 0. 0.],Cats
172,[0. 0. 0. ... 0. 0. 0.],Dogs
173,[0. 0. 0. ... 0. 0. 0.],Dogs
174,[0.         0.         0.         ... 0.00027732 0.         0.        ],Cats
175,[0.         0.         0.         ... 0.         0.         0.01611706],Dogs
176,[0.00137107 0.         0.         ... 0.         0.         0.        ],Cats
177,[0. 0. 0. ... 0. 0. 0.],Dogs
178,[0.         0.         0.         ... 0.01070458 0.         0.        ],Cats
179,[0. 0. 0. ... 0. 0. 0.],Dogs
180,[0. 0. 0. ... 0. 0. 0.],Cats
181,[0.        0.0033418 0.        ... 0.        0.        0.       ],Dogs
182,[0.         0.         0.         ... 0.         0.         0.00803881],Cats
183,[0.         0.         0.         ... 0.         0.         0.00503701],Dogs
184,[0.         0.         0.         ... 0.00091334 0.         0.        ],Cats
185,[0. 0. 0. ... 0. 0. 0.],Dogs
186,[0.         0.         0.         ... 0.         0.         0.00070224],Cats
187,[0.        0.0005082 0.        ... 0.        0.        0.       ],Dogs
188,[0. 0. 0. ... 0. 0. 0.],Cats
189,[0. 0. 0. ... 0. 0. 0.],Cats
190,[0. 0. 0. ... 0. 0. 0.],Dogs
191,[0. 0. 0. ... 0. 0. 0.],Cats
192,[0. 0. 0. ... 0. 0. 0.],Dogs
193,[0.         0.         0.         ... 0.00524579 0.         0.        ],Cats
194,[0.00194244 0.         0.         ... 0.         0.         0.        ],Dogs
195,[0. 0. 0. ... 0. 0. 0.],Cats
196,[0.         0.         0.         ... 0.00441667 0.         0.00130859],Dogs
197,[0. 0. 0. ... 0. 0. 0.],Dogs
198,[0.         0.         0.         ... 0.         0.         0.00049639],Cats
199,[0.         0.00095002 0.         ... 0.00191664 0.         0.00517367],Cats
200,[0.0035375 0.        0.        ... 0.        0.        0.       ],Cats
201,[0. 0. 0. ... 0. 0. 0.],Dogs
202,[0.         0.00128533 0.         ... 0.         0.         0.00611717],Dogs
203,[0. 0. 0. ... 0. 0. 0.],Cats
204,[0. 0. 0. ... 0. 0. 0.],Cats
205,[0. 0. 0. ... 0. 0. 0.],Cats
206,[0. 0. 0. ... 0. 0. 0.],Cats
207,[0. 0. 0. ... 0. 0. 0.],Cats
208,[0. 0. 0. ... 0. 0. 0.],Cats
209,[0. 0. 0. ... 0. 0. 0.],Cats
210,[0. 0. 0. ... 0. 0. 0.],Dogs
211,[0. 0. 0. ... 0. 0. 0.],Cats
212,[0.         0.         0.         ... 0.01364506 0.         0.00084054],Cats
213,[0. 0. 0. ... 0. 0. 0.],Cats
214,[0.         0.         0.         ... 0.         0.00191406 0.        ],Dogs
215,[0. 0. 0. ... 0. 0. 0.],Dogs
216,[0. 0. 0. ... 0. 0. 0.],Cats
217,[0. 0. 0. ... 0. 0. 0.],Dogs
218,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 0.00000000e+00
 3.91491059e-06 0.00000000e+00]",Dogs
219,[0. 0. 0. ... 0. 0. 0.],Dogs
220,[0. 0. 0. ... 0. 0. 0.],Dogs
221,[0. 0. 0. ... 0. 0. 0.],Dogs
222,[0.00156703 0.         0.0032291  ... 0.         0.         0.        ],Dogs
223,[0. 0. 0. ... 0. 0. 0.],Dogs
224,[0. 0. 0. ... 0. 0. 0.],Dogs
225,[0.         0.         0.         ... 0.00611714 0.         0.        ],Dogs
226,[0. 0. 0. ... 0. 0. 0.],Dogs
227,[0. 0. 0. ... 0. 0. 0.],Dogs
228,[0. 0. 0. ... 0. 0. 0.],Dogs
229,[0. 0. 0. ... 0. 0. 0.],Cats
230,[0. 0. 0. ... 0. 0. 0.],Cats
231,[0.00291788 0.         0.         ... 0.         0.         0.        ],Cats
232,[0.         0.         0.         ... 0.         0.         0.00089606],Dogs
233,[0. 0. 0. ... 0. 0. 0.],Dogs
234,[0.         0.         0.         ... 0.01578362 0.         0.00841038],Cats
235,[0.         0.         0.         ... 0.         0.00036391 0.        ],Cats
236,[0.         0.         0.         ... 0.         0.00292583 0.        ],Cats
237,[0.         0.         0.         ... 0.         0.00167338 0.        ],Dogs
238,[0. 0. 0. ... 0. 0. 0.],Dogs
239,[0.         0.         0.         ... 0.         0.         0.00085982],Dogs
240,[0. 0. 0. ... 0. 0. 0.],Cats
241,[0. 0. 0. ... 0. 0. 0.],Dogs
242,[0. 0. 0. ... 0. 0. 0.],Cats
243,[0.         0.         0.         ... 0.         0.         0.02822361],Cats
244,[0.         0.         0.         ... 0.00380969 0.         0.00166048],Cats
245,[0. 0. 0. ... 0. 0. 0.],Dogs
246,[0.         0.         0.         ... 0.00570443 0.         0.        ],Dogs
247,[0. 0. 0. ... 0. 0. 0.],Cats
248,[0. 0. 0. ... 0. 0. 0.],Dogs
249,[0. 0. 0. ... 0. 0. 0.],Dogs
250,[0.         0.         0.         ... 0.00247929 0.00028625 0.        ],Cats
251,[0.         0.         0.         ... 0.01203444 0.         0.        ],Dogs
252,[0. 0. 0. ... 0. 0. 0.],Dogs
253,[0.         0.00475794 0.         ... 0.         0.         0.        ],Dogs
254,[0. 0. 0. ... 0. 0. 0.],Cats
255,[0. 0. 0. ... 0. 0. 0.],Cats
256,[0.         0.         0.         ... 0.01766333 0.         0.        ],Dogs
257,[0. 0. 0. ... 0. 0. 0.],Dogs
258,[0. 0. 0. ... 0. 0. 0.],Cats
259,[0. 0. 0. ... 0. 0. 0.],Dogs
260,[0. 0. 0. ... 0. 0. 0.],Cats
261,[0.         0.         0.         ... 0.         0.         0.00111253],Dogs
262,[0. 0. 0. ... 0. 0. 0.],Dogs
263,[0. 0. 0. ... 0. 0. 0.],Cats
264,[0.00121776 0.         0.         ... 0.         0.         0.        ],Cats
265,[0.         0.         0.         ... 0.00456019 0.         0.        ],Dogs
266,[0. 0. 0. ... 0. 0. 0.],Dogs
267,[0.         0.         0.         ... 0.         0.00249688 0.        ],Cats
268,[0. 0. 0. ... 0. 0. 0.],Dogs
269,[0.         0.         0.         ... 0.00899575 0.         0.        ],Dogs
270,[0.         0.         0.         ... 0.00085781 0.         0.00461868],Cats
271,[0.         0.         0.         ... 0.         0.01070949 0.        ],Cats
272,[0.         0.00409878 0.         ... 0.         0.         0.        ],Cats
273,[0. 0. 0. ... 0. 0. 0.],Dogs
274,[0. 0. 0. ... 0. 0. 0.],Cats
275,[0. 0. 0. ... 0. 0. 0.],Dogs
276,[0. 0. 0. ... 0. 0. 0.],Cats
277,[0.         0.00160629 0.         ... 0.         0.         0.        ],Dogs
278,[0.         0.00572564 0.         ... 0.         0.00277976 0.        ],Dogs
279,[0.         0.0030875  0.         ... 0.         0.         0.01068764],Cats
280,[0. 0. 0. ... 0. 0. 0.],Cats
281,[0. 0. 0. ... 0. 0. 0.],Dogs
282,[0. 0. 0. ... 0. 0. 0.],Dogs
283,[0. 0. 0. ... 0. 0. 0.],Cats
284,[0. 0. 0. ... 0. 0. 0.],Dogs
285,[0. 0. 0. ... 0. 0. 0.],Cats
286,[0. 0. 0. ... 0. 0. 0.],Dogs
287,[0. 0. 0. ... 0. 0. 0.],Cats
288,[0.         0.         0.         ... 0.         0.         0.00470943],Dogs
289,[0.         0.         0.         ... 0.         0.00097301 0.        ],Cats
290,[0. 0. 0. ... 0. 0. 0.],Cats
291,[0. 0. 0. ... 0. 0. 0.],Cats
292,[0.         0.         0.         ... 0.         0.         0.00967731],Dogs
293,[0. 0. 0. ... 0. 0. 0.],Dogs
294,[0. 0. 0. ... 0. 0. 0.],Cats
295,[0.         0.00022737 0.         ... 0.         0.         0.        ],Dogs
296,[0. 0. 0. ... 0. 0. 0.],Cats
297,[0. 0. 0. ... 0. 0. 0.],Cats
298,[0. 0. 0. ... 0. 0. 0.],Cats
299,[0.         0.00176094 0.         ... 0.00732735 0.         0.        ],Dogs
300,[0.         0.         0.         ... 0.00071631 0.         0.        ],Cats
301,[0. 0. 0. ... 0. 0. 0.],Cats
302,[0.         0.00083864 0.         ... 0.02116267 0.         0.        ],Dogs
303,[0.         0.         0.         ... 0.         0.00321858 0.01106263],Cats
304,[0.         0.         0.         ... 0.00881617 0.         0.        ],Dogs
305,[0. 0. 0. ... 0. 0. 0.],Dogs
306,[0. 0. 0. ... 0. 0. 0.],Cats
307,[0. 0. 0. ... 0. 0. 0.],Dogs
308,[0.         0.00053306 0.         ... 0.         0.         0.        ],Cats
309,[0.         0.01447716 0.         ... 0.         0.         0.        ],Cats
310,[0.         0.         0.         ... 0.01460109 0.         0.        ],Dogs
311,[0. 0. 0. ... 0. 0. 0.],Cats
312,[0. 0. 0. ... 0. 0. 0.],Cats
313,[0.         0.         0.         ... 0.00526041 0.00348446 0.        ],Cats
314,[0.         0.00399536 0.         ... 0.01012028 0.         0.        ],Cats
315,[0. 0. 0. ... 0. 0. 0.],Cats
316,[0.         0.         0.         ... 0.         0.         0.00982076],Cats
317,[0. 0. 0. ... 0. 0. 0.],Dogs
318,[0.         0.         0.         ... 0.00052119 0.         0.        ],Cats
319,[0. 0. 0. ... 0. 0. 0.],Dogs
320,[0.00188681 0.         0.         ... 0.00281918 0.         0.        ],Cats
321,[0. 0. 0. ... 0. 0. 0.],Cats
322,[0. 0. 0. ... 0. 0. 0.],Cats
323,[0.         0.         0.         ... 0.00190917 0.         0.        ],Cats
324,[0. 0. 0. ... 0. 0. 0.],Cats
325,[0. 0. 0. ... 0. 0. 0.],Dogs
326,[0.         0.         0.         ... 0.00271506 0.         0.        ],Cats
327,[0. 0. 0. ... 0. 0. 0.],Cats
328,[0.         0.         0.         ... 0.00018288 0.         0.        ],Dogs
329,[0. 0. 0. ... 0. 0. 0.],Cats
330,[0.         0.         0.         ... 0.         0.00023411 0.        ],Cats
331,[0.         0.         0.         ... 0.00236537 0.         0.        ],Cats
332,[0. 0. 0. ... 0. 0. 0.],Cats
333,[0.         0.         0.         ... 0.         0.         0.00027288],Dogs
334,[0.         0.         0.         ... 0.00805439 0.         0.        ],Cats
335,[0. 0. 0. ... 0. 0. 0.],Cats
336,[0. 0. 0. ... 0. 0. 0.],Dogs
337,[0. 0. 0. ... 0. 0. 0.],Cats
338,[0. 0. 0. ... 0. 0. 0.],Dogs
339,[0. 0. 0. ... 0. 0. 0.],Cats
340,[0.        0.        0.        ... 0.        0.0027936 0.       ],Dogs
341,[0.         0.00230519 0.         ... 0.02022542 0.         0.        ],Cats
342,[0.         0.         0.         ... 0.         0.00131602 0.01096401],Cats
343,[0.00232617 0.         0.         ... 0.00693488 0.         0.        ],Cats
344,[0.00353351 0.         0.         ... 0.         0.         0.        ],Cats
345,[0.         0.         0.         ... 0.01331307 0.         0.        ],Cats
346,[0. 0. 0. ... 0. 0. 0.],Cats
347,[0. 0. 0. ... 0. 0. 0.],Dogs
348,[0. 0. 0. ... 0. 0. 0.],Dogs
349,[0. 0. 0. ... 0. 0. 0.],Dogs
350,[0. 0. 0. ... 0. 0. 0.],Dogs
351,[0.         0.         0.         ... 0.00772518 0.         0.        ],Cats
352,[0. 0. 0. ... 0. 0. 0.],Cats
353,[0. 0. 0. ... 0. 0. 0.],Dogs
354,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 9.76873509e-05
 0.00000000e+00 0.00000000e+00]",Dogs
355,[0. 0. 0. ... 0. 0. 0.],Cats
356,[0. 0. 0. ... 0. 0. 0.],Dogs
357,[0. 0. 0. ... 0. 0. 0.],Cats
358,[0. 0. 0. ... 0. 0. 0.],Dogs
359,[0.         0.         0.         ... 0.01280353 0.         0.        ],Dogs
360,[0. 0. 0. ... 0. 0. 0.],Dogs
361,[0. 0. 0. ... 0. 0. 0.],Dogs
362,[0.         0.         0.         ... 0.         0.         0.00070972],Cats
363,[0. 0. 0. ... 0. 0. 0.],Dogs
364,[0. 0. 0. ... 0. 0. 0.],Cats
365,[0. 0. 0. ... 0. 0. 0.],Dogs
366,[0. 0. 0. ... 0. 0. 0.],Dogs
367,[0.00434399 0.0040798  0.         ... 0.         0.         0.00477342],Cats
368,[0. 0. 0. ... 0. 0. 0.],Cats
369,[0.         0.         0.         ... 0.01427898 0.00060508 0.        ],Cats
370,[0.         0.         0.         ... 0.         0.00507482 0.        ],Dogs
371,[0.00070929 0.         0.         ... 0.         0.         0.        ],Dogs
372,[0. 0. 0. ... 0. 0. 0.],Cats
373,[0.         0.         0.         ... 0.         0.00377188 0.        ],Cats
374,[0.         0.         0.         ... 0.01619226 0.         0.        ],Cats
375,[0.         0.00153244 0.         ... 0.01998201 0.         0.        ],Dogs
376,[0.         0.         0.         ... 0.         0.         0.00324004],Cats
377,[0. 0. 0. ... 0. 0. 0.],Cats
378,[0.         0.         0.         ... 0.00664838 0.         0.        ],Dogs
379,[0. 0. 0. ... 0. 0. 0.],Cats
380,[0. 0. 0. ... 0. 0. 0.],Dogs
381,[0.         0.         0.         ... 0.02910254 0.         0.        ],Cats
382,[0.         0.         0.         ... 0.         0.01037576 0.        ],Cats
383,[0.         0.         0.         ... 0.         0.         0.00064883],Cats
384,[0. 0. 0. ... 0. 0. 0.],Dogs
385,[0.         0.         0.         ... 0.00309946 0.         0.        ],Dogs
386,[0.00074644 0.         0.         ... 0.         0.         0.        ],Cats
387,[0. 0. 0. ... 0. 0. 0.],Cats
388,[0. 0. 0. ... 0. 0. 0.],Cats
389,[0.         0.         0.         ... 0.00811042 0.         0.        ],Dogs
390,[0.         0.         0.         ... 0.00343025 0.         0.        ],Dogs
391,[0. 0. 0. ... 0. 0. 0.],Cats
392,[0.         0.         0.         ... 0.00446295 0.         0.        ],Cats
393,[0. 0. 0. ... 0. 0. 0.],Cats
394,[0.         0.         0.         ... 0.         0.01039172 0.        ],Dogs
395,[0.         0.         0.         ... 0.00856478 0.         0.        ],Dogs
396,[0.         0.         0.         ... 0.         0.00045058 0.        ],Dogs
397,[0. 0. 0. ... 0. 0. 0.],Cats
398,[0. 0. 0. ... 0. 0. 0.],Dogs
399,[0.         0.         0.         ... 0.         0.         0.00014388],Dogs
400,[0. 0. 0. ... 0. 0. 0.],Cats
401,[0.         0.         0.         ... 0.         0.00138154 0.        ],Dogs
402,[0. 0. 0. ... 0. 0. 0.],Dogs
403,[0. 0. 0. ... 0. 0. 0.],Dogs
404,[0. 0. 0. ... 0. 0. 0.],Cats
405,[0.00107192 0.         0.         ... 0.         0.00211524 0.        ],Cats
406,[0. 0. 0. ... 0. 0. 0.],Dogs
407,[0. 0. 0. ... 0. 0. 0.],Cats
408,[0.         0.         0.         ... 0.         0.00023974 0.        ],Cats
409,[0. 0. 0. ... 0. 0. 0.],Dogs
410,[0. 0. 0. ... 0. 0. 0.],Dogs
411,[0.         0.         0.         ... 0.00061734 0.         0.        ],Cats
412,[0.         0.         0.         ... 0.00784214 0.         0.        ],Cats
413,[0. 0. 0. ... 0. 0. 0.],Cats
414,[0. 0. 0. ... 0. 0. 0.],Dogs
415,[0. 0. 0. ... 0. 0. 0.],Dogs
416,[0. 0. 0. ... 0. 0. 0.],Cats
417,[0. 0. 0. ... 0. 0. 0.],Dogs
418,[0.         0.00174684 0.         ... 0.         0.         0.00989339],Dogs
419,[0. 0. 0. ... 0. 0. 0.],Dogs
420,[0. 0. 0. ... 0. 0. 0.],Dogs
421,[0. 0. 0. ... 0. 0. 0.],Cats
422,[0.         0.         0.00424204 ... 0.         0.         0.00088228],Dogs
423,[0. 0. 0. ... 0. 0. 0.],Cats
424,[0.         0.         0.         ... 0.         0.         0.00718078],Dogs
425,[0.         0.         0.         ... 0.00691972 0.         0.        ],Dogs
426,[0.00043165 0.         0.         ... 0.         0.         0.        ],Cats
427,[0.         0.         0.         ... 0.         0.         0.00520991],Cats
428,[0. 0. 0. ... 0. 0. 0.],Dogs
429,[0. 0. 0. ... 0. 0. 0.],Dogs
430,[0.         0.         0.         ... 0.01011942 0.         0.        ],Cats
431,[0. 0. 0. ... 0. 0. 0.],Dogs
432,[0.         0.         0.         ... 0.         0.         0.00626133],Cats
433,[0.         0.         0.         ... 0.00204284 0.         0.        ],Dogs
434,[0. 0. 0. ... 0. 0. 0.],Dogs
435,[0.         0.         0.         ... 0.         0.00551176 0.0071745 ],Cats
436,[0. 0. 0. ... 0. 0. 0.],Dogs
437,[0. 0. 0. ... 0. 0. 0.],Dogs
438,[0.         0.         0.00202501 ... 0.         0.         0.        ],Dogs
439,[0. 0. 0. ... 0. 0. 0.],Cats
440,[0. 0. 0. ... 0. 0. 0.],Dogs
441,[0. 0. 0. ... 0. 0. 0.],Cats
442,[0.         0.         0.         ... 0.         0.         0.00049625],Dogs
443,[0. 0. 0. ... 0. 0. 0.],Dogs
444,[0. 0. 0. ... 0. 0. 0.],Cats
445,[0.         0.         0.         ... 0.00431668 0.0045368  0.        ],Cats
446,[0.         0.         0.         ... 0.         0.00199738 0.        ],Cats
447,[0.         0.         0.         ... 0.00432175 0.         0.        ],Dogs
448,[0. 0. 0. ... 0. 0. 0.],Dogs
449,[0.         0.         0.         ... 0.00564805 0.         0.        ],Cats
450,[0. 0. 0. ... 0. 0. 0.],Cats
451,[0. 0. 0. ... 0. 0. 0.],Cats
452,[0. 0. 0. ... 0. 0. 0.],Dogs
453,[0. 0. 0. ... 0. 0. 0.],Dogs
454,[0.00566046 0.         0.00051982 ... 0.         0.         0.        ],Dogs
455,[0. 0. 0. ... 0. 0. 0.],Cats
456,[0.00322651 0.00407055 0.         ... 0.         0.         0.        ],Cats
457,[0. 0. 0. ... 0. 0. 0.],Cats
458,[0. 0. 0. ... 0. 0. 0.],Cats
